Votes,Avg_Rating,Geek_Rating
24235,8.91,8.611
,,
30741,8.64,8.491
,,
15415,8.54,8.258
,,
37774,8.4,8.241
,,
34123,8.33,8.175
,,
16333,8.45,8.162
,,
8948,8.56,8.126
,,
38752,8.29,8.12
,,
18766,8.29,8.078
,,
6349,8.74,8.069
,,
32337,8.2,8.05
,,
9683,8.42,8.032
,,
36271,8.13,8.012
,,
10377,8.38,7.992
,,
39943,8.12,7.991
,,
5229,8.62,7.979
,,
8769,8.43,7.942
,,
17082,8.15,7.928
,,
19515,8.1,7.926
,,
56077,8.04,7.923
,,
17061,8.23,7.922
,,
23435,8.07,7.908
,,
14839,8.12,7.908
,,
23318,8.1,7.895
,,
56666,7.99,7.889
,,
16244,8.16,7.878
,,
15648,8.08,7.875
,,
10891,8.18,7.856
,,
9494,8.18,7.851
,,
25221,8.03,7.849
,,
11030,8.14,7.817
,,
5770,8.81,7.81
,,
6986,8.26,7.81
,,
16414,8.08,7.807
,,
16845,7.99,7.803
,,
49639,7.89,7.801
,,
26729,7.94,7.785
,,
24227,7.93,7.778
,,
23905,7.95,7.777
,,
22945,7.89,7.754
,,
26457,7.91,7.745
,,
15225,7.94,7.731
,,
8714,8.06,7.71
,,
24177,7.9,7.71
,,
68294,7.78,7.691
,,
15778,7.86,7.676
,,
40344,7.76,7.664
,,
24546,7.81,7.662
,,
15580,7.85,7.659
,,
5684,8.14,7.648
,,
38230,7.77,7.647
,,
6718,8.12,7.643
,,
10293,8.02,7.642
,,
17181,7.87,7.642
,,
25417,7.78,7.64
,,
23386,7.86,7.634
,,
21109,7.78,7.629
,,
50222,7.72,7.627
,,
6626,8.09,7.615
,,
16650,7.82,7.614
,,
26937,7.74,7.61
,,
32983,7.72,7.603
,,
6641,8.02,7.6
,,
8494,7.93,7.596
,,
29635,7.74,7.592
,,
21186,7.73,7.587
,,
13342,7.8,7.579
,,
18760,7.77,7.577
,,
14972,7.76,7.574
,,
12032,7.79,7.565
,,
23007,7.71,7.56
,,
12450,7.78,7.555
,,
20658,7.77,7.552
,,
4845,8.17,7.551
,,
82405,7.64,7.547
,,
67728,7.65,7.545
,,
32459,7.69,7.541
,,
9387,7.79,7.526
,,
6005,8,7.522
,,
13045,7.75,7.522
,,
3959,8.2,7.515
,,
19169,7.73,7.501
,,
37890,7.6,7.496
,,
5974,7.99,7.495
,,
4517,8.14,7.495
,,
14518,7.7,7.485
,,
8338,7.82,7.48
,,
5766,7.92,7.479
,,
9455,7.78,7.474
,,
9128,7.8,7.474
,,
28033,7.61,7.473
,,
18664,7.63,7.469
,,
19653,7.61,7.464
,,
23796,7.66,7.464
,,
17000,7.65,7.463
,,
8575,7.79,7.463
,,
22286,7.63,7.457
,,
4942,8.06,7.455
,,
8210,7.78,7.453
,,
46961,7.56,7.447
,,
2126,7.16,6.509
,,
915,8.01,6.509
,,
2089,7.11,6.508
,,
3137,6.91,6.508
,,
2309,7.05,6.507
,,
1225,7.56,6.507
,,
1852,7.2,6.507
,,
3733,6.86,6.506
,,
3887,6.86,6.506
,,
1671,7.24,6.506
,,
2537,7.13,6.503
,,
7088,6.69,6.502
,,
1697,7.27,6.501
,,
1421,7.39,6.501
,,
6256,6.72,6.5
,,
2259,7.05,6.499
,,
1938,7.17,6.498
,,
1155,7.57,6.498
,,
1127,7.63,6.498
,,
4714,6.81,6.497
,,
892,8.01,6.497
,,
20986,6.6,6.497
,,
6465,6.71,6.497
,,
1824,7.2,6.496
,,
4841,6.79,6.496
,,
3643,6.85,6.496
,,
8010,6.7,6.494
,,
2870,6.94,6.493
,,
5644,6.72,6.493
,,
3171,6.88,6.492
,,
3268,7.06,6.492
,,
922,7.81,6.491
,,
2988,6.92,6.491
,,
3751,6.84,6.49
,,
1051,7.68,6.488
,,
3666,6.87,6.488
,,
1724,7.29,6.488
,,
2103,7.1,6.487
,,
1852,7.14,6.485
,,
2966,6.92,6.484
,,
809,8.13,6.484
,,
2810,6.91,6.483
,,
1409,7.37,6.482
,,
2640,6.98,6.482
,,
2574,7,6.481
,,
1779,7.17,6.481
,,
1487,7.39,6.48
,,
1477,7.31,6.48
,,
9135,6.66,6.479
,,
4263,6.78,6.479
,,
2874,6.93,6.479
,,
1402,7.36,6.478
,,
1061,7.66,6.478
,,
1978,7.22,6.477
,,
2430,7,6.477
,,
5410,6.73,6.476
,,
1143,7.52,6.476
,,
7259,6.66,6.475
,,
1385,7.39,6.475
,,
834,8.18,6.474
,,
1403,7.34,6.473
,,
3327,6.83,6.471
,,
1566,7.26,6.471
,,
3550,6.86,6.471
,,
1465,7.29,6.47
,,
1738,7.26,6.47
,,
1405,7.33,6.47
,,
3959,6.82,6.469
,,
1895,7.27,6.469
,,
7887,6.66,6.469
,,
2368,7,6.469
,,
3237,6.85,6.468
,,
5267,6.71,6.467
,,
1261,7.45,6.467
,,
3669,6.81,6.467
,,
7234,6.65,6.466
,,
1887,7.13,6.466
,,
1444,7.31,6.465
,,
1051,7.66,6.465
,,
6895,6.66,6.465
,,
1843,7.11,6.465
,,
3246,6.84,6.465
,,
2061,7.11,6.465
,,
1370,7.46,6.464
,,
1518,7.23,6.464
,,
9355,6.61,6.464
,,
1840,7.3,6.463
,,
